"Country";"Issuer";"Currency";"Face value";"Reference";"Link";"Title";"Type";"Year range";"Shape";"Composition";"Weight";"Diameter";"Thickness";"Orientation";"Year";"Gregorian year";"Mintmark";"Comment";"Quantity";"For exchange";"Grade";"Collection";"BRL";"Private comment";"Public comment"
"Algeria";"Algeria";"Dinar (1964-date)";10;"KM# 110";1748;"10 Dinars";"Standard circulation coin";"1979-1981";"Decagonal (10-sided)";"Aluminium-bronze";11,37;29,3;2,29;"Coin alignment &uarr;&darr;";1981;1981;;"Pessac mint (France)";1;FALSO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";0,1;"KM# 35";2594;"10 Centavos";"Standard circulation coin";"1896-1942";"Round";"Copper-nickel";3;19;1,3;"Coin alignment &uarr;&darr;";1934;1934;;;1;FALSO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";0,1;"KM# 41";3248;"10 Centavos";"Standard circulation coin";"1942-1950";"Round";"Aluminium-bronze";3;19,5;1,5;"Coin alignment &uarr;&darr;";1949;1949;;"CJ#212";1;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";0,1;"KM# 47";3250;"10 Centavos (reeded edge)";"Standard circulation coin";"1951-1952";"Round";"Copper-nickel";3;19;1,5;"Coin alignment &uarr;&darr;";1951;1951;;;2;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";0,1;"KM# 47a";8075;"10 Centavos (larger head, smooth edge)";"Standard circulation coin";"1952-1953";"Round";"Nickel clad steel";3;19;1,5;"Coin alignment &uarr;&darr;";1953;1953;;;1;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";0,2;"KM# 48";3253;"20 Centavos (reeded edge)";"Standard circulation coin";"1951-1952";"Round";"Copper-nickel";4;21;1,5;"Coin alignment &uarr;&darr;";1952;1952;;"CJ#230";1;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";0,2;"KM# 52";4132;"20 Centavos (smaller head, smooth edge)";"Standard circulation coin";"1954-1956";"Round";"Nickel clad steel";4;21;1,6;"Coin alignment &uarr;&darr;";1955;1955;;"CJ#234";1;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";0,5;"KM# 49";3258;"50 Centavos";"Standard circulation coin";"1952-1956";"Round";"Nickel clad steel";5;23;1,8;"Coin alignment &uarr;&darr;";1954;1954;;"CJ#225";2;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";1;"KM# 57";2818;"1 Peso";"Standard circulation coin";"1957-1962";"Round";"Nickel clad steel";6,5;26;1,5;"Coin alignment &uarr;&darr;";1958;1958;;;3;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";1;"KM# 57";2818;"1 Peso";"Standard circulation coin";"1957-1962";"Round";"Nickel clad steel";6,5;26;1,5;"Coin alignment &uarr;&darr;";1959;1959;;;3;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";1;"KM# 58";3262;"1 Peso (May Revolution)";"Circulating commemorative coin";1960;"Round";"Nickel clad steel";6,5;25,5;2;"Coin alignment &uarr;&darr;";1960;1960;;"CJ# 274.1";1;VERDADEIRO;;;;;
"Argentina";"Argentina";"Peso moneda nacional (1881-1969)";5;"KM# 59";1015;"5 Pesos";"Standard circulation coin";"1961-1968";"Dodecagonal (12-sided)";"Nickel clad steel";4;21,1;1,9;"Coin alignment &uarr;&darr;";1963;1963;;;1;VERDADEIRO;;;;;
